target,a,b,c,d
xakRa,kukkuta,kAlakaNTaka,Kaxyowa,bAlamURikA
SUkakIta,vqScika,kalavifka,pArAvawa,pakRamUla
Kadga,gaNdaka,vyAGrAta,Syena,sArWa
KaFjarIta,KaFjana,cakravAka,cilla,kqkalAsa
kahva,baka,krOFca,uwkara,pakRamUla
mqgAxana,warakRu,puwwikA,kroRtu,paSu
pawafgikA,puwwikA,nIlA,sArasa,vAwapramI
hariNa,vAwAyu,girikA,Kadgin,jawukA
xaMSa,vanamakRikA,cUdA,mqgenxra,pradIna
JIrukA,BqfgArI,kafka,vi,sArWa
xAwyUha,kAlakaNTaka,nIda,kqkaNa,go
wElapAyikA,paroRNI,SiKA,Bqfga,varvaNA
inxinxira,caFcarIka,kiri,bAlamURikA,Syena
Salya,SvAviX,mqga,kapi,balAkA
pika,paraBqwa,maXumakRikA,uwkroSa,cilla
xvanxva,swrIpuMsa,vAwapramI,pakRawi,mArjAra
varvaNA,makRikA,vAjin,karkaretu,girikA
kqkalAsa,sarata,jyowirifgaNa,xvanxva,camara
SaSAxana,Syena,pecaka,kroda,kafka
garuw,pawawra,xArvAGAta,miWuna,canxraka
koSa,aNda,kurafga,paroRNI,sArafga
SalalI,Sala,SiKA,sarata,Sawapawraka
BAlUka,acCa,Bqfga,SiKA,Salya
Sawapawraka,xArvAGAta,puwwikA,vihafga,barhin
karkaretu,karetu,ali,SilImuKa,IhAmqga
SarAri,Ati,kanxalI,vyAGra,bAlamURikA
mqgenxra,puNdarIka,SalaBa,mqgAripu,puwwikA
vAwapramI,vAwamqga,nIlafgu,kukkuta,niSAtana
unxuru,aXoganwq,pakRawi,xruNa,picCabarha
girikA,bAlamURikA,vqScika,lohapqRTa,kAkola
priyaka,camUru,kurara,kikIxivi,karetu
pecaka,kOSika,cataka,kalApa,ruru
vqRaxaMSaka,mArjAra,xroNakAka,vAyasArAwi,vqRaxaMSaka
kAxamba,kalahaMsa,Sawapawraka,krOFca,paroRNI
kalarava,pArAvawa,ganXolI,aNda,SalaBa
cilla,AwAyin,vAwapramI,karetu,kalApa
Suka,kIra,paSu,vAnara,maxgu
Perava,BUrimAya,pakRin,gqXra,kahva
xruNa,vqScika,paraBqwa,bAlamURikA,BqfgArI
ganXolI,varatA,vyAGrAta,balAkA,Kaxyowa
gqhagoXikA,musalI,puwwikA,varvaNA,kqkaNa
kAkola,xroNakAka,vanamakRikA,Salya,xakRa
baliBuj,kAka,kqkaNa,bisakaNTikA,cataka
Ceka,gqhyaka,musalI,cARa,picCabarha
SiKA,cUdA,SiKA,goXikAwmaja,KaFjana
nIlakaNTa,kekin,pawafgikA,kUta,wElapAyikA
BaraxvAja,vyAGrAta,cataka,Sakuni,pAka
vihafgama,Sakuni,krakara,koSa,xvanxva
nIlafgu,kqmi,sArasa,Salala,kruFc
nIda,kulAya,Svewagaruw,kahva,varatA
paSu,go,BaraxvAja,nIlakaNTa,vqRaxaMSaka
plavaga,SAlAvqka,markataka,xaMRtrin,pawafga
powrin,BUxAra,xvIpin,go,xakRa
vqka,koka,picCabarha,cataka,AwAyin
SalaBa,pawafga,pArAvawa,sArasa,ganXolI
uddIna,saNdIna,UrNanABa,kafka,kAxamba
karNajalOkA,SawapaxI,gOXera,cARa,maXuvrawa
xvanxva,yuga,gOXAra,JillikA,SawapaxI
xAkRAyya,gqXra,caFcu,camUru,kqkavAku
gOXera,goXikAwmaja,gOXAra,xAkRAyya,miWuna
balAkA,bisakaNTikA,kikIxivi,kAkola,mqga
puRkarAhva,sArasa,safGa,pakRamUla,kAlakaNTaka
kruFc,krOFca,owu,xAkRAyya,kekin
raWAfgAhvaya,cakravAka,kalahaMsa,sarata,IhAmqga
kRuxrA,maXumakRikA,kaxalI,puRkarAhva,sarata
lulAya,kAsara,kruFc,UrNanABa,bAla
xiXiRu,punarBU,kaNTa,pawivawnI,pawiMvarA
prasrAva,mUwra,kaNTa,snuRA,vapA
prawisIrA,javanikA,BrAwrIya,pAxakataka,glAsnu
inxralupwaka,keSaGna,mUrcCAla,pawaxgraha,xAyAxa
alafkariRNu,alafkariRNu,vIraBAryA,pInasa,jAwIPala
asqj,SoNiwa,aXomSuka,lAkRA,kakRyA
jadula,piplu,anwarvawnI,kqmi,klIba
gawanAsika,vigra,pAxavalmIka,piwarO,newrAmbu
janaka,piwq,vqxXawva,wArakAkRi,Sirasya
sWAvira,vqxXawva,woka,vAwarogin,yAvana
aRtIvaw,Uruparvan,SraxXAlu,gulma,viSeRaka
cUdAmaNi,Sirorawna,vqkaXUpa,avatu,janI
kIkasa,kulya,raxana,pAriwaWyA,iwvarI
kuttanI,SamBalI,SleRmaNa,AplAva,janaka
karNikA,karaSAKA,kacCura,Uruparvan,gaNda
kAFcI,sapwakI,viwAna,apatu,samuxgaka
SvayaWu,SoPa,vqkaXUpa,hqx,jaTara
BAviwa,vAsiwa,viwaswi,vibanXa,piplu
aSmarI,mUwrakqcCra,alpawanu,SvaSura,yoni
SroNiPalaka,kata,nakwaka,SamBalI,capeta
vasana,AcCAxana,prasAXiwa,kifkiNI,wanUruha
Aplava,snAna,arSoroga,SyAla,KuraNas
kUrpara,kaPoNi,vArXaka,prajAvawI,patavAsaka
sAwisAra,awisArakin,pAriwaWyA,SrIveRta,kROma
newrAmbu,aSru,karaBURaNa,vigawArwavA,pawivawnI
kuca,swana,xErGya,kopanA,prAjFA
prawala,saMhawala,apAna,kotavI,sqNikA
kAmukI,vqRasyanwI,AmiRa,rogahArin,jAnu
kakRa,bAhumUla,vikalAfga,Sravas,kaPin
warjanI,praxeSinI,kOlateya,kanxuka,kAkuxa
praxIpa,xIpa,kata,apAna,BujAnwara
ApannasawwvA,anwarvawnI,bAlapASyA,siXma,wUli
vallUra,uwwapwa,UrXvajFu,prawiSyAya,suwAwmajA
kafkaNa,karaBURaNa,sWAsaka,SmaSru,jananI
rewas,inxriya,veNi,alika,vapA
gaNda,kapola,jIrNavaswra,balavaw,canxana
cArcikya,carcA,pawrapASyA,raxana,XarRiNI
balavaw,mAMsala,roxana,viwAna,SESava
praveNI,veNi,kUrpAsaka,kArpAsa,xurnAmaka
vyaFjana,SmaSru,glAsnu,rasanA,vigawArwavA
naKara,kararuha,wilaka,gawanAsika,parispanxa
meDra,SiSna,varcaska,svEriNI,SleRmala
varavarNinI,uwwamA,wanwraka,vqxXA,glAsnu
Sakqw,purIRa,paxa,plIhan,mUwra
SiroXi,manyA,piRtAwa,samArWaka,upAXyAyI
AwmajA,wanayA,XIran,lavafga,mAwq
muNda,muNdiwa,mAMsala,UrNAyu,SoPa
saMhawajAnuka,saMjFu,afgasaMskAra,xAyAxa,UrXvajFu
BrAjiRNu,viBrAj,wilakAlaka,varNaka,yuvan
vigraha,varRman,samArWaka,vigawArwavA,avaBrata
valina,valiBa,avanAta,pAxAgra,varRIyas
Sirasya,SIrRaNya,nakwaka,xohaxavawI,mukuta
kqmi,Pala,pitaka,pawaxgraha,kanInikA
kalawra,SroNi,kqwrimaXUpaka,siXma,vIrapawnI
avalagna,maXyama,kacCura,kAlAguru,pArihArya
puMScalI,kulatA,rakwacanxana,kAlAnusArya,vyaFjana
safKyAna,bqhawikA,gala,Baga,viwAna
karNikA,wAlapawra,anwara,parikarman,woka
kambu,AvApaka,niwambinI,Orasa,alafkAra
janI,snuRA,sucelaka,upapawi,rAkRA
yoRiw,sImanwinI,praxeSinI,nicola,kulya
rasanA,rasajFA,pilla,bAlya,kabarI
kulaswrI,jAmi,nawanAsika,kUrpara,janaka
ciriNtI,suvAsinI,mAlya,kaPoNi,keSapASI
pUjya,SvaSura,afgulIyaka,lAlA,prapaxa
kqkAtikA,GatA,kanInikA,pariNAha,gulPa
prAvqwa,nivIwa,prahaswa,canxana,upaXAna
Koda,KaFja,jAyApawI,AvApaka,upAXyAyI
xUwI,saFcArikA,kIlAla,sagowra,pAxavalmIka
xos,bAhu,rasajFA,KuraNas,caNdAwaka
BrUNa,garBa,kRawriyANI,kilAsa,swanapA
kAkuxa,wAlu,arSoroga,kapAla,kulapAlikA
hAra,mukwAvalI,prapaxa,samputaka,SoWa
edamUka,anXa,kalawra,alafkriyA,koSaPala
avaBrata,avatIta,iwvarI,culla,xanwa
UrmikA,afgulIyaka,ulba,uwwAnaSayA,lifga
xAyAxa,banXu,haMsaka,malinI,uras
bahurUpa,sarvarasa,pITa,wuruRka,arus
vqxXanABi,wunxiBa,BAgineya,pata,soxarya
walpa,SayyA,CAwa,canxana,vIramAwq
prajAwA,prasUwA,xaxrurogin,xurnAmaka,lavafga
vibanXa,AnAha,vaswraveSman,newrAmbu,veRa
prapaxa,pAxAgra,BrAwqja,mahASUxrI,ApIda
guxa,pAyu,parikarman,jAra,woka
viXavA,viSvaswA,apAfga,aRtIvaw,snuRA
anAgawArwavA,gOrI,kRawriyANI,uwwaMsa,kanXarA
sirA,nAdI,siwABra,paliknI,SvaSrUSvaSura
SleRmaNa,SleRmala,gadula,lalAtikA,vqRasyanwI
malliganXi,mafgalyA,vakRas,SeKara,wAwa
syanxinI,sqNikA,xEvajFA,SayyA,patavAsaka
BrAwqBaginI,BrAwar,xAraka,unmawwa,warjanI
PAla,kArpAsa,kRawriyANI,viswAra,pAman
pawraleKA,pawrAfguli,gaNda,wejas,vimAwqja
alam,kalApa,wanUruha,anuboXa,kAsa
pawaxgraha,prawigrAha,woka,GatA,prasAXana
xEvajFA,vipraSnikA,vIrya,bAnXakineya,prasAXanI
maswiRka,gorxa,xohaxavawI,mANavaka,nAdI
vaXU,pawnI,jarAyu,xaSana,yuvawi
Sruwi,Srowra,Xava,mehana,pawrorNa
SyAla,SvaSurya,avatu,yoni,kqwasapawnikA
xaxrurogin,xaxruNa,vamaWu,newrAmbu,viSvaswA
alpawanu,pqSni,kafkawikA,pawrAfguli,praxeSinI
vAraswrI,gaNikA,paryafka,vasA,arSas
raxanacCaxa,aXara,piwAmaha,xErGya,vEjanana
yakqw,kAlaKaNda,wuNda,vAraswrI,GatA
mala,kitta,praveRta,yAva,bARpa
asra,vqjina,sqNikA,prajFu,ambara
upAXyAyAnI,upAXyAyI,xarpaNa,koTa,sWUlaSAtaka
pitaka,visPota,AplAva,kataka,pawrapASyA
vakwra,lapana,aMsa,Sirorawna,kESika
canxrasaMjFa,siwABra,Buja,GutikA,ciriNtI
KarjU,kaNdUyA,naKara,xevq,kUpaka
pAxavalmIka,SlIpaxa,UrXvajFu,Koda,amAMsa
viwAna,ulloca,agaxafkAra,kRawriyA,kakuxmawI
wanwraka,navAmbara,aByamiwa,kifkiNI,karaBURaNa
vyAsa,vigraha,upapawi,baXira,vAsayoga
kuFja,xanwa,sakWi,BAviwa,ganXavahA
mArRti,mArjanA,karpata,kAlaka,kaNTaBURA
piRtAwa,patavAsaka,nAsikA,cUcuka,wiraskariNI
xvAxaSAfgula,viwaswi,Pala,vAmana,mUwra
satA,jatA,xanwa,vIrya,mahASUxrI
nicola,pracCaxapata,afgaxa,anAmaya,kulapAlikA
xevq,SvaSurya,sanABi,vipraSnikA,kaNTaBURA
upAXyAyI,upAXyAyA,SoWa,anwarvawnI,hrasva
manuja,nara,Sakqw,punarBU,SiKaNdaka
woka,apawya,kati,SrIvAsa,kOlateya
agramAMsa,bukkA,vqxXanABi,xvija,valiBa
SrIveRta,vqkaXUpa,hAra,capeta,arSas
xqRtarajas,maXyamA,Sviwra,wilaka,vArwa
varwi,vilepana,snAyu,SiKA,kAsa
pInasa,prawiSyAya,SiKaNdaka,pInasa,meKalA
pAxakataka,haMsaka,Awafka,agraja,pawrAfguli
lambana,lalanwikA,vqjina,pragawajAnuka,kekara
aXyUDA,kqwasapawnikA,pUjya,kRuxraGaNtikA,AyAma
upapawi,jAra,BUwAwman,kulya,saBarwqkA
UrXvajFu,UrXvajAnu,agriya,vaswraveSman,xAraka
kutumbinI,puranXrI,vaswraveSman,suwA,xqRtarajas
vIramAwq,vIrasU,puranXrI,viSeRaka,waruNI
kumArI,kanyA,kanyA,grEveyaka,grahaNI
AxarSa,mukura,RaNda,pawrorNa,anAgawArwavA
maNdalaka,koTa,niRkalA,raFjana,lalAtikA
mANavaka,xAraka,samputaka,akRi,syanxinI
vEmAwreya,vimAwqja,akRi,anAgawArwavA,saMhawajAnuka
sanABi,sapiNda,sAwisAra,jAmi,rAjArha
roga,rujA,mArRti,kubja,avaBrata
AyAma,AnAha,SoWa,xiXiRu,SmaSru
kqwrimaXUpaka,vqkaXUpa,prajAwA,pAxasPota,Orasa
maFca,parikara,picaNda,xaSA,mafgalyA
vraNa,Irma,genxuka,afgulIyaka,vIrasU
AsanA,sWiwi,vIrasU,Awura,aryA
jIrNavaswra,pataccara,SroNi,alafkAra,kqmi
cUrNa,vAsayoga,swana,pUrvaja,xukUla
pala,AmiRa,xqRtarajas,pracCaxapata,visPota
cilla,culla,gulPa,kuttanI,pAxakataka
bAnXakineya,kOlateya,afganA,pawrapASyA,upasWa
prAjFI,prajFA,keSaGna,garBASaya,vIramAwq
yuvawi,waruNI,xurbala,pASa,waruNI
kilAsa,siXma,aSmarI,AnAha,prasUjanayiwq
baXira,eda,SayyA,dimBA,BujaSiras
KaraNasa,KaraNas,vyaFjana,pAyasa,sWavira
muRka,vqRaNa,keSaveSa,keyUra,kRawriyA
keSin,keSika,SraxXAlu,suwA,vIrasU
sPic,katiproWa,upaXAna,sanABi,upAXyAyI
nAsAmala,sifGANa,wAruNya,bAhumUla,KaFja
vAwarogin,vAwakin,wunxila,janayiwrI,lAlA
saBarwqkA,pawivawnI,wunxila,Sviwra,lAkRA
XImawI,prAjFA,kata,bAhumUla,SmaSru
vIrapawnI,vIraBAryA,viBURaNa,pracCarxikA,kRava
mAwulI,mAwulAnI,prawala,rukprawikriyA,ABoga
ganXavahA,GoNA,sAwisAra,wAwa,varASi
ramaNI,kAminI,warjanI,haswa,karpara
pAxAfgaxa,maFjIra,BujAnwara,paFcajana,avawaMsa
agaxa,ORaXa,agramAMsa,apAna,kakuxmawI
varyA,svayaMvarA,grIvA,BiRaj,apawya
wvac,wanu,kata,jatA,haricanxana
koSaPala,kolaka,karNa,pAyu,praveRta
pawrorNa,XOwakOSeya,kukunxara,kRawriyANI,kopanA
BujAnwara,pAli,pASa,mukuta,vqxXa
kacCU,pAman,himavAlukA,lohiwacanxana,baXira
GutikA,gulPa,PAla,puranXrI,niRpravANi
guhya,upasWa,katAkRa,upabarha,wilaparNI
jananI,janayiwrI,apAna,SirosWi,AwreyI
avawaMsa,ApIda,upAXyAyAnI,BURiwa,kifkiNI
vigawArwavA,niRkalA,pAxasPota,ABIrI,vAmana
garBASaya,jarAyu,icCAvawI,varArohA,AcCAxana
xampawI,BAryApawI,bAhumUla,cUrNa,pAyu
pEwqRvaseya,pEwqRvasrIya,uxara,agaxafkAra,SvaSurya
vakRas,uras,vaswi,mukwAvalI,paripUrNawA
mexas,vasA,asWi,kanyA,saMhawajAnuka
vArwa,ullAGa,pragawajAnuka,pASa,gadula
swananXayI,uwwAnaSayA,upAXyAyAnI,xohaxavawI,maXyama
sWUlaSAtaka,varASi,jaraw,vAsiwa,maXyamA
apAfgaxarSana,katAkRa,svayaMvarA,mAyu,nakwaka
SiSuwva,SESava,RaNda,bIja,apAfgaxarSana
cikiwsA,kriyA,garBa,prajAvawI,BrAwqBaginI
karpara,kapAla,prawala,saMhawajAnuka,vAsayoga
alafkriyA,BURA,piRtAwa,jadula,swana
wamAlapawra,ciwraka,vasnasA,keSika,IkRaNikA
visrasA,jarA,pAxa,wAwa,prawala
upabarha,upaXAna,viwaswi,wuruRka,prasUwA
anwarIya,aXomSuka,jAwIPala,guhya,valina
BujaSiras,aMsa,xvija,sPic,kuca
aguru,kAlAguru,siXmala,ramaNI,keSaveSa
wAruNya,yOvana,SvaSrUSvaSura,goXi,kAkapakRa
gala,kaNTa,BURA,svasrIya,lapana
Uru,sakWi,SyAla,kacCa,wilaka
piSuna,bAhlIka,GatA,keyUra,saXarmiNI
napwrI,suwAwmajA,vqRasyanwI,xEvajFA,vIraBAryA
yAva,lAkRA,garBa,karNikA,ABIrI
kacCura,pAmana,kanInikA,pqSni,UrmikA
kRuw,kRuwa,AmiRa,KuraNasa,kAmukI
anuboXa,praboXana,arSoroga,meKalA,punarBava
sUnu,xAyAxa,kqwasapawnikA,anuja,yoRA
snAyu,vasnasA,kAsa,swananXayI,prajFA
wilaka,kloman,vAraswrI,sUwimAsa,SroNa
piwqpiwq,piwAmaha,kqkAtikA,lalAtikA,jAwApawyA
kOlatineya,kOlateya,lalanA,ganXavahA,xaSanavAsas
amAMsa,CAwa,capeta,sifGANa,warjanI
kaPa,SleRman,Sruwi,Aplava,nivIwa
KuraNasa,KuraNas,kanyakAjAwa,vIramAwq,praxeSinI
kROma,xukUla,vIrapawnI,safKyAna,kati
SaNDa,wqwIyAprakqwi,vibanXa,Uruparvan,anuboXa
vyAXiwa,apatu,wvac,SamBalI,SleRmaNa
grEveyaka,kaNTaBURA,kakRa,visrasA,kulya
kukunxara,kUpaka,kucAgra,anXa,mukwAvalI
wAlavqnwaka,vyajana,SirosWi,prapaxa,pracCaxapata
kanxuka,genxuka,karNaveRtana,cUrNakunwala,kOlatera
canxana,ganXasAra,maNdalaka,prasqwA,viSAlawA
rajasvalA,AwreyI,kuca,prawigrAha,haswa
uwwamAfga,kam,viswAra,pumAmsa,Koda
cikiwsaka,vExya,avalagna,glAna,unmAxavaw
karpata,nakwaka,saBarwqkA,BrAwqBaginI,BujAnwara
roman,loman,mAMsala,pawraleKA,BrAwqja
kuRTa,Sviwra,alafkarwq,xarpaNa,vEjanana
SraxXAlu,xohaxavawI,glAna,kambala,snAyu
waruNa,yuvan,jAwIPala,pataccara,aXyUDA
parispanxa,racanA,yakRaXUpa,uwwarIya,kacCU
unmAxavaw,unmawwa,saralaxrava,pOwrI,kotavI
gulma,plIhan,kabarI,vArwa,KaFja
goXi,lalAta,arSas,xohaxavawI,mUrwa
anAmaya,Arogya,haswa,cola,RaNda
kekara,valira,prawisIrA,BAryA,xohaxavawI
pracCarxikA,vami,vikalAfga,xaxruNa,upasWa
BURiwa,maNdiwa,sanABi,asra,aryA
paripUrNawA,ABoga,vqxXA,icCAvawI,purIwaw
SroNa,pafgu,uraHsUwrikA,suwAwmajA,afgulI
prakqwi,yoni,afgulIyaka,SoRa,malliganXi
xqRti,locana,siXma,xErGya,cikiwsA
hqx,hqxaya,kuRTa,aNdakoSa,pawivawnI
vaswraveSman,xURya,mArjanA,SyAla,upasWa
aryANI,aryA,Koda,pramaxA,maXyamA
kalala,ulba,parispanxa,iwvarI,apaGana
pawrAfga,rakwacanxana,maXya,Barwq,loha
keyUra,afgaxa,jananI,kakuxmawI,kAsa
kabarI,keSaveSa,sWavira,kaNTaBURA,kabarI
AlI,vayasyA,sapiNda,kotavI,BrAwqvya
nagnikA,kotavI,vANinI,balavaw,urasya
sWavira,jIrNa,vyaFjana,BrAwar,wunxika
wilaka,wilakAlaka,SyAla,sWiwi,lambana
sahaja,samAnoxarya,maFjIra,ABIrI,ORaXa
kuNi,kukara,Xava,rogahArin,wulAkoti
lavafga,SrIsaMjFa,praxeSinI,woka,kuNi
wElaparNika,goSIrRa,avanAta,keSaveSa,haMsaka
nIca,vAmana,Akalpa,pawrAfguli,puMScalI
piNdaka,wuruRka,nAdI,karaBURaNa,anAhawa
wunxila,wunxika,IkRaNikA,prawigrAha,aXivinnA
vipAxikA,pAxasPota,uwsAxana,garBa,veNi
prawikarman,prasAXana,afgaxa,niRkalA,punarBava
suBagAsuwa,sOBAgineya,jIna,SvaSura,ABIrI
kopanA,BAminI,puranXrI,pafgu,vakRas
kaniRTa,yavIya,sanABi,sqNikA,wElaparNika
kRawriyANI,kRawriyA,suBagAsuwa,sanABi,SroNa
paliknI,vqxXA,pata,valina,niRkalA
karoti,SirosWi,yuvawi,alafkariRNu,ulba
bAlapASyA,pAriwaWyA,uxvarwana,Amaya,svasq
SvaSrUSvaSura,SvaSura,upAXyAyA,veNi,SroNi
mAlya,sraj,praxIpa,veNi,unmawwa
caNdAwaka,arXoruka,kAsa,mafgalyA,amAMsa
vqxXasafGa,vArXaka,jAwIPala,karpara,mOli
cola,kUrpAsaka,kRuwa,kolaka,xurbala
vikalAfga,apogaNda,kAlaka,cilla,asawIsuwa
kESika,kESya,ABIrI,GanasAra,anwarvawnI
kanInikA,wArakAkRi,aSmarI,vqkaXUpa,meRakambala
pata,sucelaka,kanxuka,suwAwmajA,viSAlawA
kAsa,kRavaWu,pASa,sapwakI,KaraNas
svasq,jAmi,himavAlukA,saMhawajAnuka,prawala
keSapASI,SiKA,karaBURaNa,bARpa,upAXyAyA
uxvarwana,uwsAxana,prajFu,uwwaMsa,SayanIya
xaSA,vaswi,pawrapASyA,karNaveRtana,sahaja
gadula,kubja,afgasaMskAra,kulaswrI,kuca
grahaNI,rukpravAhikA,prasAXanI,SyAla,asawIsuwa
mahASUxrI,ABIrI,aXyUDA,nyubja,xaSamin
wunxa,uxara,mafgalyA,kanInikA,mUrwa
pUrvaja,agraja,vqkaXUpa,saMhawajAnuka,uxvarwana
kilAsin,siXmala,upAXyAyI,yoni,vyAXi
cUrNakunwala,alaka,vAsiwA,keSapASI,ulloca
pragawajAnuka,prajFu,keyUra,prasU,visPota
Orasa,urasya,vIrasU,pqSni,SyAla
pawivrawA,sAXvI,mAlA,mqganABi,asra
sUwimAsa,vEjanana,kulapAlikA,silha,Siras
BrAwqvya,BrAwqja,arXoruka,anwra,KaraNasa
pakRa,pASa,pracCaxapata,alaka,kopanA
mAyu,piwwa,kukara,Asana,SirosWi
jyAyas,xaSamin,arXoruka,wAlavqnwaka,SleRman
rajas,puRpa,pilla,sWAvira,kAmukI
pUruRa,paFcajana,svasrIya,cola,kAlAnusArya
kRuxraGaNtikA,kifkiNI,pAmana,mukura,vasana
glAsnu,glAna,upaXAna,aguru,KuraNas
anwra,purIwaw,uwwAnaSayA,xvAxaSAfgula,muRka
prawIka,apaGana,UrmikA,jatA,SvaSura
mUrwa,mUrcCiwa,sWUlaSAtaka,xukUla,prawisIrA
kAmukA,icCAvawI,kRaya,kucAgra,oRTa
prajAvawI,BrAwqjAyA,mAwulAnI,puranXrI,vAwakin
mqgamaxa,kaswUrI,karaBURaNa,kacCura,mAwApiwq
xurnAmaka,arSas,manyA,prasAXanI,cUrNa
samuxgaka,samputaka,mAwulAnI,pIwana,pAxakataka
kAlIyaka,kAlAnusArya,anwara,raxana,nivIwa
meRakambala,UrNAyu,apawya,kolaka,wanayA
kRaya,yakRman,vIramAwq,pata,bahurUpa
cUcuka,kucAgra,pariXAna,kaSipu,saBarwqkA
jafGA,prasqwA,wunxiBa,inxralupwaka,banXula
kAkapakRa,SiKaNdaka,mAlA,sahaja,glAsnu
mAwarapiwq,mAwApiwq,mUrcCAla,glAna,xurbala
priya,Barwq,aNdakoSa,saBarwqkA,karaBURaNa
kirIta,mOli,vaXU,mahASUxrI,kitta
jAwIPala,jAwIkoSa,guhya,wAruNya,veNi
afGri,pax,anXa,PAla,mAwulI
pawrapASyA,lalAtikA,Xamani,SeKara,gaNda
svasrIya,BAgineya,kaNdU,ulloca,pracCarxikA
pANi,kara,upAXyAyI,BaxraSrI,varyA
jofgaka,aguru,SleRmala,roman,pragawajAnuka
kanyakAjAwa,kAnIna,samputaka,aMsa,wilaka
prawala,prahaswa,nAsA,valira,kAkuxa
prasAXanI,kafkawikA,vigawArwavA,sWiwi,wAlavqnwaka
parikarman,afgasaMskAra,malliganXi,xUwI,vAsayoga
arSas,arSoroga,prakqwi,kRuw,Orasa
sawyavAk,qRi,warman,BikRu,vivikwi
pqWagAwmawA,viveka,vyavAya,vqwwAXyayanarxXi,pArikAfkRin
xeSika,wIrWa,rAjavaMSya,gAyawrI,upasparSa
grAmyaXarma,vyavAya,yAFcA,sAmiXenI,Aganwu
pAyasa,paramAnna,varNa,rAmBa,virajaswamas
svAXyAya,japa,upAXyAya,lOkAyawika,AgnAyI
viSvAmiwra,gAXeya,vrawin,Acamana,virajaswamas
wapaHkleSasaha,xAnwa,yAyajUka,rAjavaMSya,XAyyA
vAcaMyama,muni,wIrWa,brahmawva,OlUkya
manwravyAKyAkqw,AcArya,viSvAmiwra,piwqxAna,bIjya
upaBqw,sruc,mImAMsaka,snAwaka,Acamana
aBivAxana,pAxagrahaNa,havis,suXI,Srowriya
jEminIya,mImAMsaka,wIrWa,nirAkqwi,brahmacArin
upAwyaya,awipAwa,sajjana,aBivAxana,huwaBukpriyA
saxas,saMsax,sawyavAk,viveka,upavAsa
caRAla,yUpakataka,aByuwWAna,varNa,SrIparNa
vENava,rAmBa,Arhaka,xeSika,kulIna
pArASarin,karmanxin,paripAtI,brahmavarcasa,SiRya
brahmaBUya,brahmawva,ApluwavrawI,XAyyA,aBiRava
AgnAyI,svAhA,pArikAfkRin,pqWagAwmawA,sani
prAGUNaka,prAGUrNika,yAga,xvija,prAGUNaka
sWANdila,sWaNdilaSAyin,nivApa,gOrava,upavAsa
kamaNdalu,karaka,mOna,saMjFA,saBya
vaMSa,janana,upAXyAya,ajina,vaRatkqwa
yAyajUka,ijyASIla,pUjA,vAcaMyama,niXuvana
rAjabIjin,rAjavaMSya,vAcaMyama,vaRatkqwa,kRawavrawa
yajamAna,vrawin,kOSika,kROra,xeSika
vIrahan,naRtAgni,vexAnwin,guru,vqwwAXyayanarxXi
huwa,vaRatkqwa,huwaBukpriyA,kROra,xvayAwiga
xvayAwiga,virajaswamas,upavAsa,CAnxasa,awipAwa
XarmaXvajin,lifgavqwwi,upAXyAya,prAGUrNika,AgnAyI
saMskArahIna,vrAwya,snAwaka,vAcaMyama,Srowriya
saMjFA,gAyawrI,xUraxarSin,OlUkya,grAmyaXarma
gOrava,aByuwWAna,vexAnwin,kulasamBava,vrawin
warman,yUpAgra,SEkRa,AveSika,arxanA
sawIrWya,ekaguru,nEyAyika,kulasamBava,niXuvana
maKa,svaru,brAhmaNa,awiWi,sawIrWya
SiRya,CAwra,mEWuna,sani,mOna
samUhya,paricAyya,sOgawa,parivrAj,viveka
savana,suwyA,upayama,lifgavqwwi,niXuvana
varNa,varNa,brahmawva,upAsanA,mImAMsaka
mahAkula,Arya,sAmiXenI,muNdana,viwaraNa
yawin,yawi,iwiha,prokRiwa,ijyASIla
prAcewas,mEwrAvaruNi,kamaNdalu,manwravyAKyAkqw,xUraxarSin
vapana,muNdana,gAyawrI,cArvAka,gaveRaNA
kApila,sAfKya,manwravyAKyAkqw,ijyASIla,vqwwAXyayanarxXi
niyama,vrawa,jaya,sawyavAk,saBya
prAWamakalpika,SEkRa,varNin,gOrava,upayAma
sani,aXyeRaNA,sWaNdila,saMsax,BAva
cawvara,sWaNdila,Opavaswa,SEkRa,upavIwa
vrajyA,atAtyA,varNa,OlUkya,yAyajUka
bIjya,kulasamBava,pArikAfkRin,virajaswamas,Opavaswa
prokRaNa,paramparAka,brahmacArin,paripAtI,CAnxasa
upAXyAya,aXyApaka,brAhmaNa,Avqwwa,kRawavrawa
kRawavrawa,avakIrNin,yawi,pARaNda,carman
arhaNA,pUjA,vESeRika,aXyApaka,paramAnna
brahmavAxin,vexAnwin,meXya,asvAXyAya,sWaNdilaSAyin
nivApa,piwqxAna,uxvAha,manwravyAKyAkqw,gOrava
varNin,brahmacArin,sani,Opavaswa,Axikavi
iwiha,Ewihya,avakIrNin,wapaHkleSasaha,prokRaNa
safKyAvaw,vixvas,caRAla,vyakwa,aBijana
somapIWin,somapa,vrawa,wURNIM,paramAnna
krama,viXi,vrajyA,aByuwWAna,mImAMsaka
havis,sAMnAyya,yawin,sawIrWya,prokRaNa
wApasa,pArikAfkRin,nEyAyika,rAjavaMSya,anveRaNA
meXya,vivikwi,wApasa,snAwaka,sWaNdilaSAyin
